XMDTENT,XMDTSITE,XMDTDOCNO,XMDTDOCDT,XMDT004,XMDT002,XMDT003,XMDTSTUS,XMDT015
3,JINPAO,JP2106-20170720003,2017-07-20 00:00:00,J008,510017,MKTS1,Y,2017-07-20 00:00:00
3,JINPAO,JP2105-20171215002,2017-12-15 00:00:00,H001,500038,MKTS3,Y,2017-12-15 00:00:00
3,JINPAO,JP2101-20180108001,2018-01-08 00:00:00,T026,510028,MKTS5,Y,2018-01-08 00:00:00
3,JINPAO,JP2105-20180129001,2018-01-29 00:00:00,I006,550025,MKTS4,Y,2018-01-29 00:00:00
3,JINPAO,JP2106-20180514006,2018-05-14 00:00:00,B001,510028,MKTS2,Y,2018-05-14 00:00:00
3,JINPAO,JP2106-20180718001,2018-07-18 00:00:00,B024,510028,MKTS2,Y,2018-07-18 00:00:00
3,JINPAO,JP2105-20190223001,2019-02-23 00:00:00,C001,550024,MKTS3,Y,2019-02-23 00:00:00
3,JINPAO,JP2105-20190404001,2019-04-04 00:00:00,C041,510043,MKTS1,Y,2019-04-04 00:00:00
3,JINPAO,JP2101-20190411001,2019-04-11 00:00:00,T021,540071,MKTS5,Y,2019-04-11 00:00:00
3,JINPAO,JP2101-20190426001,2019-04-26 00:00:00,T026,540071,MKTS5,Y,2019-04-26 00:00:00
3,JINPAO,JP2106-20190507001,2019-05-07 00:00:00,R004,560071,MKTS1,Y,2019-05-07 00:00:00
3,JINPAO,JP2105-20190527005,2019-05-27 00:00:00,B004,470013,MKTS4,Y,2019-05-27 00:00:00
3,JINPAO,JP2105-20190711001,2019-07-11 00:00:00,F006,550024,MKTS3,Y,2019-07-11 00:00:00
3,JINPAO,JP2105-20190712001,2019-07-12 00:00:00,C041,510043,MKTS1,Y,2019-07-12 00:00:00
3,JINPAO,JP2105-20190712002,2019-07-12 00:00:00,C041,510043,MKTS1,Y,2019-07-12 00:00:00
3,JINPAO,JP2105-20190712003,2019-07-12 00:00:00,C041,510043,MKTS1,Y,2019-07-12 00:00:00
3,JINPAO,JP2106-20190716005,2019-07-16 00:00:00,F035,550040,MKTS2,Y,2019-07-16 00:00:00
3,JINPAO,JP2101-20190717003,2019-07-17 00:00:00,C024,560146,MKTS5,Y,2019-07-17 00:00:00
3,JINPAO,JP2105-20190717002,2019-07-17 00:00:00,C014,540052,MKTS2,Y,2019-07-17 00:00:00
3,JINPAO,JP2101-20190719001,2019-07-19 00:00:00,S063,560146,MKTS5,Y,2019-07-19 00:00:00
3,JINPAO,JP2101-20190730002,2019-07-30 00:00:00,T021,540071,MKTS5,Y,2019-07-30 00:00:00
3,JINPAO,JP2105-20190805002,2019-08-05 00:00:00,C014,540052,MKTS2,Y,2019-08-05 00:00:00
3,JINPAO,JP2107-20190827001,2019-08-27 00:00:00,B001,580070,MKTS2,Y,2019-08-27 00:00:00
3,JINPAO,JP2106-20190828004,2019-08-28 00:00:00,A020,580070,MKTS2,Y,2019-08-28 00:00:00
3,JINPAO,JP2105-20191001004,2019-10-01 00:00:00,C014,540052,MKTS2,Y,2019-10-01 00:00:00
3,JINPAO,JP2101-20191119001,2019-11-19 00:00:00,C018,560146,MKTS5,Y,2019-11-19 00:00:00
3,JINPAO,JP2106-20191126001,2019-11-26 00:00:00,S065,510017,MKTS1,Y,2019-11-26 00:00:00
3,JINPAO,JP2101-20191209001,2019-12-09 00:00:00,E016,560146,MKTS5,Y,2019-12-09 00:00:00
3,JINPAO,JP2106-20170522002,2017-05-22 00:00:00,F005,520035,MKTS4,Y,2017-05-22 00:00:00
3,JINPAO,JP2101-20171012002,2017-10-12 00:00:00,E012,560146,MKTS5,Y,2017-10-12 00:00:00
3,JINPAO,JP2105-20171221003,2017-12-21 00:00:00,D003,500038,MKTS3,Y,2017-12-21 00:00:00
3,JINPAO,JP2101-20171012001,2017-10-12 00:00:00,S008,560146,MKTS5,Y,2017-10-12 00:00:00
3,JINPAO,JP2106-20180117001,2018-01-17 00:00:00,M041,550025,MKTS4,Y,2018-01-17 00:00:00
3,JINPAO,JP2106-20180129001,2018-01-29 00:00:00,J004,510017,MKTS1,Y,2018-01-29 00:00:00
3,JINPAO,JP2106-20180228002,2018-02-28 00:00:00,C041,510043,MKTS1,Y,2018-02-28 00:00:00
3,JINPAO,JP2106-20180507006,2018-05-07 00:00:00,B001,510028,MKTS2,Y,2018-05-07 00:00:00
3,JINPAO,JP2105-20180510001,2018-05-10 00:00:00,D003,500038,MKTS3,Y,2018-05-10 00:00:00
3,JINPAO,JP2106-20180514004,2018-05-14 00:00:00,F035,550040,MKTS2,Y,2018-05-14 00:00:00
3,JINPAO,JP2104-20180614002,2018-06-14 00:00:00,F021,540052,MKTS2,Y,2018-06-14 00:00:00
3,JINPAO,JP2106-20180706004,2018-07-06 00:00:00,A020,580070,MKTS2,Y,2018-07-06 00:00:00
3,JINPAO,JP2105-20180801001,2018-08-01 00:00:00,L003,580070,MKTS2,Y,2018-08-01 00:00:00
3,JINPAO,JP2101-20180817001,2018-08-17 00:00:00,T026,540071,MKTS5,Y,2018-08-17 00:00:00
3,JINPAO,JP2102-20180914001,2018-09-14 00:00:00,D006,500038,MKTS3,Y,2018-09-14 00:00:00
3,JINPAO,JP2105-20180918001,2018-09-18 00:00:00,F005,520035,MKTS4,Y,2018-09-18 00:00:00
3,JINPAO,JP2106-20180918002,2018-09-18 00:00:00,F005,520035,MKTS4,Y,2018-09-18 00:00:00
3,JINPAO,JP2105-20180918002,2018-09-18 00:00:00,F005,520035,MKTS4,Y,2018-09-18 00:00:00
3,JINPAO,JP2106-20180920001,2018-09-20 00:00:00,B001,510028,MKTS2,Y,2018-09-20 00:00:00
3,JINPAO,JP2106-20181001003,2018-10-01 00:00:00,B001,510028,MKTS2,Y,2018-10-01 00:00:00
3,JINPAO,JP2109-20181017001,2018-10-17 00:00:00,Y007,510028,MKTS2,Y,2018-10-17 00:00:00
3,JINPAO,JP2105-20190306001,2019-03-06 00:00:00,B004,470013,MKTS4,Y,2019-03-06 00:00:00
3,JINPAO,JP2101-20190926001,2019-09-26 00:00:00,S061,560146,MKTS5,Y,2019-09-26 00:00:00
3,JINPAO,JP2106-20190926001,2019-09-26 00:00:00,R004,560071,MKTS1,Y,2019-09-26 00:00:00
3,JINPAO,JP2105-20190926004,2019-09-26 00:00:00,F006,550024,MKTS3,Y,2019-09-26 00:00:00
3,JINPAO,JP2105-20190927001,2019-09-27 00:00:00,F007,550024,MKTS3,Y,2019-09-27 00:00:00
3,JINPAO,JP2102-20191009001,2019-10-09 00:00:00,B001,580070,MKTS2,Y,2019-10-09 00:00:00
3,JINPAO,JP2107-20191022001,2019-10-22 00:00:00,F010,540052,MKTS2,Y,2019-10-22 00:00:00
3,JINPAO,JP2105-20191022007,2019-10-22 00:00:00,H001,550024,MKTS3,Y,2019-10-22 00:00:00
3,JINPAO,JP2101-20191209002,2019-12-09 00:00:00,E016,560146,MKTS5,Y,2019-12-09 00:00:00
3,JINPAO,JP2101-20191211001,2019-12-11 00:00:00,E016,560146,MKTS5,Y,2019-12-11 00:00:00
3,JINPAO,JP2105-20191218001,2019-12-18 00:00:00,C013,540052,MKTS2,Y,2019-12-18 00:00:00
3,JINPAO,JP2104-20200108001,2020-01-08 00:00:00,F023,580070,MKTS2,Y,2020-01-08 00:00:00
3,JINPAO,JP2106-20200110001,2020-01-10 00:00:00,B004,470013,MKTS4,Y,2020-01-10 00:00:00
3,JINPAO,JP2105-20170906002,2017-09-06 00:00:00,D005,490020,MKTS3,Y,2017-09-06 00:00:00
3,JINPAO,JP2106-20170926002,2017-09-26 00:00:00,F005,520035,MKTS4,Y,2017-09-26 00:00:00
3,JINPAO,JP2105-20170928001,2017-09-28 00:00:00,S008,560146,MKTS5,Y,2017-09-28 00:00:00
3,JINPAO,JP2106-20171101001,2017-11-01 00:00:00,P012,470013,MKTS4,Y,2017-11-01 00:00:00
3,JINPAO,JP2105-20171101001,2017-11-01 00:00:00,B004,470013,MKTS4,Y,2017-11-01 00:00:00
3,JINPAO,JP2106-20171120001,2017-11-20 00:00:00,J008,510017,MKTS1,Y,2017-11-20 00:00:00
3,JINPAO,JP2108-20171204001,2017-12-04 00:00:00,T034,510043,MKTS1,Y,2017-12-04 00:00:00
3,JINPAO,JP2105-20171209002,2017-12-09 00:00:00,D003,500038,MKTS3,Y,2017-12-09 00:00:00
3,JINPAO,JP2106-20180109001,2018-01-09 00:00:00,F035,600395,MKTS2,Y,2018-01-09 00:00:00
3,JINPAO,JP2105-20180329001,2018-03-29 00:00:00,S008,560146,MKTS5,Y,2018-03-29 00:00:00
3,JINPAO,JP2105-20180604002,2018-06-04 00:00:00,F005,520035,MKTS4,Y,2018-06-04 00:00:00
3,JINPAO,JP2105-20180604003,2018-06-04 00:00:00,F005,520035,MKTS4,Y,2018-06-04 00:00:00
3,JINPAO,JP2107-20180604001,2018-06-04 00:00:00,F005,520035,MKTS4,Y,2018-06-04 00:00:00
3,JINPAO,JP2101-20180612001,2018-06-12 00:00:00,C024,560146,MKTS5,Y,2018-06-12 00:00:00
3,JINPAO,JP2105-20180808001,2018-08-08 00:00:00,B004,470013,MKTS4,Y,2018-08-08 00:00:00
3,JINPAO,JP2105-20180918003,2018-09-18 00:00:00,F005,520035,MKTS4,Y,2018-09-18 00:00:00
3,JINPAO,JP2106-20181005001,2018-10-05 00:00:00,R004,560071,MKTS1,Y,2018-10-05 00:00:00
3,JINPAO,JP2106-20181016002,2018-10-16 00:00:00,A020,580070,MKTS2,Y,2018-10-16 00:00:00
3,JINPAO,JP2105-20190109001,2019-01-09 00:00:00,C041,510043,MKTS1,Y,2019-01-09 00:00:00
3,JINPAO,JP2106-20190207003,2019-02-07 00:00:00,C038,550040,MKTS2,Y,2019-02-07 00:00:00
3,JINPAO,JP2105-20191122003,2019-11-22 00:00:00,C041,510043,MKTS1,Y,2019-11-22 00:00:00
3,JINPAO,JP2105-20191210001,2019-12-10 00:00:00,E017,550025,MKTS4,Y,2019-12-10 00:00:00
3,JINPAO,JP2105-20190308001,2019-03-08 00:00:00,C041,510043,MKTS1,Y,2019-03-08 00:00:00
3,JINPAO,JP2106-20190423001,2019-04-23 00:00:00,R004,560071,MKTS1,Y,2019-04-23 00:00:00
3,JINPAO,JP2106-20200121003,2020-01-21 00:00:00,F035,550040,MKTS2,Y,2020-01-21 00:00:00
3,JINPAO,JP2101-20200122002,2020-01-22 00:00:00,S063,560146,MKTS5,Y,2020-01-22 00:00:00
3,JINPAO,JP2106-20200122001,2020-01-22 00:00:00,F035,550040,MKTS2,Y,2020-01-22 00:00:00
3,JINPAO,JP2101-20200122003,2020-01-22 00:00:00,C024,560146,MKTS5,Y,2020-01-22 00:00:00
3,JINPAO,JP2105-20200128001,2020-01-28 00:00:00,B004,470013,MKTS4,Y,2020-01-28 00:00:00
3,JINPAO,JP2105-20200124001,2020-01-24 00:00:00,F005,520035,MKTS4,Y,2020-01-24 00:00:00
3,JINPAO,JP2101-20200129001,2020-01-29 00:00:00,S063,560146,MKTS5,Y,2020-01-29 00:00:00
3,JINPAO,JP2101-20170327001,2017-03-27 00:00:00,E012,590359,MKTS5,Y,2017-03-27 00:00:00
3,JINPAO,JP2106-20170815002,2017-08-15 00:00:00,F005,520035,MKTS4,Y,2017-08-15 00:00:00
3,JINPAO,JP2101-20170824003,2017-08-24 00:00:00,T026,510028,MKTS5,Y,2017-08-24 00:00:00
3,JINPAO,JP2105-20171109001,2017-11-09 00:00:00,S008,560146,MKTS5,Y,2017-11-09 00:00:00
3,JINPAO,JP2106-20170824001,2017-08-24 00:00:00,J004,510017,MKTS1,Y,2017-08-24 00:00:00
3,JINPAO,JP2106-20170822005,2017-08-22 00:00:00,J004,510017,MKTS1,Y,2017-08-22 00:00:00
3,JINPAO,JP2109-20170830001,2017-08-30 00:00:00,S008,560146,MKTS5,Y,2017-08-30 00:00:00
3,JINPAO,JP2104-20170830001,2017-08-30 00:00:00,F021,540052,MKTS2,Y,2017-08-30 00:00:00
3,JINPAO,JP2106-20171030001,2017-10-30 00:00:00,C041,510043,MKTS1,Y,2017-10-30 00:00:00
3,JINPAO,JP2106-20180508003,2018-05-08 00:00:00,A020,580070,MKTS2,Y,2018-05-08 00:00:00
3,JINPAO,JP2102-20180314001,2018-03-14 00:00:00,R005,490020,MKTS3,Y,2018-03-14 00:00:00
3,JINPAO,JP2106-20180523001,2018-05-23 00:00:00,C041,510043,MKTS1,Y,2018-05-23 00:00:00
3,JINPAO,JP2102-20180510001,2018-05-10 00:00:00,D005,490020,MKTS3,Y,2018-05-10 00:00:00
3,JINPAO,JP2106-20180528001,2018-05-28 00:00:00,P012,470013,MKTS4,Y,2018-05-28 00:00:00
3,JINPAO,JP2106-20180607003,2018-06-07 00:00:00,C041,510043,MKTS1,Y,2018-06-07 00:00:00
3,JINPAO,JP2106-20180622005,2018-06-22 00:00:00,A020,580070,MKTS2,Y,2018-06-22 00:00:00
3,JINPAO,JP2105-20180702001,2018-07-02 00:00:00,H001,500038,MKTS3,Y,2018-07-02 00:00:00
3,JINPAO,JP2101-20180713001,2018-07-13 00:00:00,T029,540071,MKTS5,Y,2018-07-13 00:00:00
3,JINPAO,JP2105-20180804001,2018-08-04 00:00:00,C041,510043,MKTS1,Y,2018-08-04 00:00:00
3,JINPAO,JP2106-20180807001,2018-08-07 00:00:00,B001,510028,MKTS2,Y,2018-08-07 00:00:00
3,JINPAO,JP2106-20190115002,2019-01-15 00:00:00,F035,550040,MKTS2,Y,2019-01-15 00:00:00
3,JINPAO,JP2106-20190204002,2019-02-04 00:00:00,A020,580070,MKTS2,Y,2019-02-04 00:00:00
3,JINPAO,JP2106-20190522001,2019-05-22 00:00:00,R004,560071,MKTS1,Y,2019-05-22 00:00:00
3,JINPAO,JP2101-20191107004,2019-11-07 00:00:00,M029,560146,MKTS5,Y,2019-11-07 00:00:00
3,JINPAO,JP2106-20191125004,2019-11-25 00:00:00,S024,470013,MKTS4,Y,2019-11-25 00:00:00
3,JINPAO,JP2106-20191127002,2019-11-27 00:00:00,A020,580070,MKTS2,Y,2019-11-27 00:00:00
3,JINPAO,JP2106-20191128002,2019-11-28 00:00:00,S059,580070,MKTS2,Y,2019-11-28 00:00:00
3,JINPAO,JP2109-20191202002,2019-12-02 00:00:00,L014,510028,MKTS2,Y,2019-12-02 00:00:00
3,JINPAO,JP2106-20191206002,2019-12-06 00:00:00,B001,510028,MKTS2,Y,2019-12-06 00:00:00
3,JINPAO,JP2106-20191209002,2019-12-09 00:00:00,S059,580070,MKTS2,Y,2019-12-09 00:00:00
3,JINPAO,JP2105-20191211001,2019-12-11 00:00:00,O009,550025,MKTS4,Y,2019-12-11 00:00:00
3,JINPAO,JP2105-20191218002,2019-12-18 00:00:00,F006,550024,MKTS3,Y,2019-12-18 00:00:00
3,JINPAO,JP2101-20170808001,2017-08-08 00:00:00,S008,560146,MKTS5,Y,2017-08-08 00:00:00
3,JINPAO,JP2101-20170107001,2017-01-07 00:00:00,T026,510028,MKTS5,Y,2017-01-07 00:00:00
3,JINPAO,JP2106-20191219001,2019-12-19 00:00:00,F037,550040,MKTS2,Y,2019-12-19 00:00:00
3,JINPAO,JP2101-20191221001,2019-12-21 00:00:00,S061,560146,MKTS5,Y,2019-12-21 00:00:00
3,JINPAO,JP2101-20161225195,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225196,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225197,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2012-09-25 00:00:00
3,JINPAO,JP2101-20161225198,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2012-09-25 00:00:00
3,JINPAO,JP2101-20161225199,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2012-09-25 00:00:00
3,JINPAO,JP2101-20161225200,2016-12-22 00:00:00,D006,520025,JINPAO,Y,2012-09-25 00:00:00
3,JINPAO,JP2101-20161225201,2016-12-22 00:00:00,M010,520025,JINPAO,Y,2012-09-26 00:00:00
3,JINPAO,JP2101-20161225202,2016-12-22 00:00:00,H010,520025,JINPAO,Y,2012-09-27 00:00:00
3,JINPAO,JP2101-20161225203,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-09-28 00:00:00
3,JINPAO,JP2101-20161225204,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-29 00:00:00
3,JINPAO,JP2101-20161225205,2016-12-22 00:00:00,H010,520025,JINPAO,Y,2012-09-29 00:00:00
3,JINPAO,JP2101-20161225206,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-05 00:00:00
3,JINPAO,JP2101-20161225207,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-05 00:00:00
3,JINPAO,JP2101-20161225208,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-05 00:00:00
3,JINPAO,JP2101-20161225209,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-05 00:00:00
3,JINPAO,JP2101-20161225210,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-05 00:00:00
3,JINPAO,JP2101-20161225211,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-05 00:00:00
3,JINPAO,JP2101-20161225212,2016-12-22 00:00:00,M016,520025,JINPAO,Y,2012-03-05 00:00:00
3,JINPAO,JP2101-20161225213,2016-12-22 00:00:00,J004,520025,JINPAO,Y,2012-03-06 00:00:00
3,JINPAO,JP2101-20161225214,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-06 00:00:00
3,JINPAO,JP2101-20161225215,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-06 00:00:00
3,JINPAO,JP2101-20161225216,2016-12-22 00:00:00,B004,520025,JINPAO,Y,2012-03-07 00:00:00
3,JINPAO,JP2101-20161225217,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2012-03-08 00:00:00
3,JINPAO,JP2101-20161225218,2016-12-22 00:00:00,C001,520025,JINPAO,Y,2012-03-08 00:00:00
3,JINPAO,JP2101-20161225219,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-08 00:00:00
3,JINPAO,JP2101-20161225220,2016-12-22 00:00:00,H010,520025,JINPAO,Y,2012-03-07 00:00:00
3,JINPAO,JP2101-20161225221,2016-12-22 00:00:00,P010,520025,JINPAO,Y,2012-03-08 00:00:00
3,JINPAO,JP2101-20161225222,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2012-03-08 00:00:00
3,JINPAO,JP2101-20161225223,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-10 00:00:00
3,JINPAO,JP2101-20161225224,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225225,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225226,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225227,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225228,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-15 00:00:00
3,JINPAO,JP2101-20161225229,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225230,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225231,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225232,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225233,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225234,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-10 00:00:00
3,JINPAO,JP2101-20161225235,2016-12-22 00:00:00,P010,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225236,2016-12-22 00:00:00,P010,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225237,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225238,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225239,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225240,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2012-03-17 00:00:00
3,JINPAO,JP2101-20161225241,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2012-03-17 00:00:00
3,JINPAO,JP2101-20161225242,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-19 00:00:00
3,JINPAO,JP2101-20161225243,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-03-19 00:00:00
3,JINPAO,JP2101-20161225244,2016-12-22 00:00:00,S024,520025,JINPAO,Y,2012-03-19 00:00:00
3,JINPAO,JP2101-20161225245,2016-12-22 00:00:00,P010,520025,JINPAO,Y,2012-03-20 00:00:00
3,JINPAO,JP2101-20161225246,2016-12-22 00:00:00,J004,520025,JINPAO,Y,2012-03-20 00:00:00
3,JINPAO,JP2101-20161225247,2016-12-22 00:00:00,D021,520025,JINPAO,Y,2012-03-21 00:00:00
3,JINPAO,JP2101-20161225248,2016-12-22 00:00:00,S024,520025,JINPAO,Y,2012-03-13 00:00:00
3,JINPAO,JP2101-20161225249,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2012-03-14 00:00:00
3,JINPAO,JP2101-20161225250,2016-12-22 00:00:00,B010,520025,JINPAO,Y,2012-03-15 00:00:00
3,JINPAO,JP2101-20161225251,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2012-03-17 00:00:00
3,JINPAO,JP2101-20161225252,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2012-03-19 00:00:00
3,JINPAO,JP2101-20161225253,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2012-03-19 00:00:00
3,JINPAO,JP2101-20161225254,2016-12-22 00:00:00,T009,520025,JINPAO,Y,2012-03-20 00:00:00
3,JINPAO,JP2101-20161225255,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-20 00:00:00
3,JINPAO,JP2101-20161225256,2016-12-22 00:00:00,T031,520025,JINPAO,Y,2012-03-21 00:00:00
3,JINPAO,JP2101-20161225257,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2012-03-22 00:00:00
3,JINPAO,JP2101-20161225258,2016-12-22 00:00:00,C024,520025,JINPAO,Y,2012-03-23 00:00:00
3,JINPAO,JP2101-20161225259,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2012-03-26 00:00:00
3,JINPAO,JP2101-20161225260,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2012-03-28 00:00:00
3,JINPAO,JP2101-20161225261,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-28 00:00:00
3,JINPAO,JP2101-20161225262,2016-12-22 00:00:00,H001,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225263,2016-12-22 00:00:00,C001,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225264,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-16 00:00:00
3,JINPAO,JP2101-20161225265,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-03-17 00:00:00
3,JINPAO,JP2101-20161225266,2016-12-22 00:00:00,P010,520025,JINPAO,Y,2012-03-22 00:00:00
3,JINPAO,JP2101-20161225267,2016-12-22 00:00:00,J001,520025,JINPAO,Y,2012-03-28 00:00:00
3,JINPAO,JP2101-20161225268,2016-12-22 00:00:00,H010,520025,JINPAO,Y,2012-03-30 00:00:00
3,JINPAO,JP2101-20161225269,2016-12-22 00:00:00,F005,520025,JINPAO,Y,2012-03-30 00:00:00
3,JINPAO,JP2101-20161225270,2016-12-22 00:00:00,S024,520025,JINPAO,Y,2012-03-31 00:00:00
3,JINPAO,JP2101-20161225271,2016-12-22 00:00:00,J001,520025,JINPAO,Y,2012-03-31 00:00:00
3,JINPAO,JP2101-20161225272,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-04-02 00:00:00
3,JINPAO,JP2101-20161225273,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-04-02 00:00:00
3,JINPAO,JP2101-20161225274,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2012-04-03 00:00:00
3,JINPAO,JP2101-20161225275,2016-12-22 00:00:00,J001,520025,JINPAO,Y,2012-04-03 00:00:00
3,JINPAO,JP2101-20161225276,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225277,2016-12-22 00:00:00,H014,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225278,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225279,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225280,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225281,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225282,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225283,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225284,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225285,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225286,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225287,2016-12-22 00:00:00,M009,520025,JINPAO,Y,2012-09-24 00:00:00
3,JINPAO,JP2101-20161225288,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2012-09-25 00:00:00
3,JINPAO,JP2101-20161225289,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2012-09-29 00:00:00
3,JINPAO,JP2101-20161225290,2016-12-22 00:00:00,C001,520025,JINPAO,Y,2012-10-01 00:00:00
3,JINPAO,JP2101-20161224811,2016-12-22 00:00:00,D010,520025,JINPAO,Y,2011-12-06 00:00:00
3,JINPAO,JP2101-20161224812,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2011-12-06 00:00:00
3,JINPAO,JP2101-20161224813,2016-12-22 00:00:00,P010,520025,JINPAO,Y,2011-12-07 00:00:00
3,JINPAO,JP2101-20161224814,2016-12-22 00:00:00,S024,520025,JINPAO,Y,2011-12-08 00:00:00
3,JINPAO,JP2101-20161224815,2016-12-22 00:00:00,H010,520025,JINPAO,Y,2011-12-09 00:00:00
3,JINPAO,JP2101-20161224816,2016-12-22 00:00:00,D010,520025,JINPAO,Y,2011-11-30 00:00:00
3,JINPAO,JP2101-20161224817,2016-12-22 00:00:00,D005,520025,JINPAO,Y,2011-12-01 00:00:00
3,JINPAO,JP2101-20161224818,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2011-12-02 00:00:00
3,JINPAO,JP2101-20161224819,2016-12-22 00:00:00,T005,520025,JINPAO,Y,2011-12-02 00:00:00
3,JINPAO,JP2101-20161224820,2016-12-22 00:00:00,F006,520025,JINPAO,Y,2011-12-03 00:00:00
3,JINPAO,JP2101-20161224821,2016-12-22 00:00:00,D003,520025,JINPAO,Y,2011-12-03 00:00:00
